20-8-25 上午2:47
项目统计数据

       	   片段数	   单词数	字符数（不计空格）	字符数（计入空格）	#文件数	
总共：    	162831	350222	  1977823	  2160180	  60	
剩余片段：  	162693	349452	  1973579	  2155321	  58	
独特片段：  	 70649	208220	  1200801	  1333710	  60	
剩余独特片段：	 70619	207563	  1197156	  1329455	  58	


各文件统计数据：

文件名                                                          	  总片段数	 剩余片段数	独特片段数	剩余独特片段数	  总单词数	 剩余单词数	 独特单词数	剩余独特单词数	总字符数（不计空格）	剩余字符数（不计空格）	独特字符数（不计空格）	剩余独特字符数（不计空格）	总字符数（计入空格）	剩余字符数（计入空格）	独特字符数（计入空格）	剩余独特字符数（计入空格）	
asobo-aircraft-208b-grand-caravan-ex/en-US.locPak            	    11	     0	    9	      0	   178	     0	   176	      0	      1008	          0	        998	            0	      1174	          0	       1164	            0	
asobo-aircraft-a320-neo/en-US.locPak                         	    15	     1	   10	      1	   218	     1	   213	      1	      1252	          7	       1226	            7	      1447	          7	       1421	            7	
asobo-aircraft-b7478i/en-US.locPak                           	    16	     0	   12	      0	   273	     0	   269	      0	      1448	          0	       1428	            0	      1697	          0	       1677	            0	
asobo-aircraft-bonanza-g36/en-US.locPak                      	    14	     9	    9	      9	   254	   248	   248	    248	      1376	       1341	       1341	         1341	      1616	       1580	       1580	         1580	
asobo-aircraft-c152/en-US.locPak                             	     5	     3	    3	      3	   186	   183	   183	    183	       964	        944	        944	          944	      1137	       1116	       1116	         1116	
asobo-aircraft-c172sp-as1000/en-US.locPak                    	     6	     4	    4	      4	   195	   192	   192	    192	      1066	       1046	       1046	         1046	      1246	       1225	       1225	         1225	
asobo-aircraft-cap10c/en-US.locPak                           	     6	     5	    5	      5	   168	   167	   167	    167	       920	        915	        915	          915	      1073	       1068	       1068	         1068	
asobo-aircraft-cj4/en-US.locPak                              	    10	     5	    5	      5	   186	   180	   180	    180	      1044	       1009	       1009	         1009	      1218	       1182	       1182	         1182	
asobo-aircraft-da40-ng/en-US.locPak                          	     7	     6	    6	      6	   177	   176	   176	    176	      1017	       1012	       1012	         1012	      1181	       1176	       1176	         1176	
asobo-aircraft-da62/en-US.locPak                             	    14	    10	    9	      9	   215	   211	   209	    209	      1258	       1238	       1223	         1223	      1459	       1439	       1423	         1423	
asobo-aircraft-dr400/en-US.locPak                            	    13	     9	    8	      8	   183	   179	   178	    178	      1003	        983	        978	          978	      1168	       1148	       1143	         1143	
asobo-aircraft-e330/en-US.locPak                             	    14	    10	   10	     10	   196	   192	   192	    192	      1163	       1143	       1143	         1143	      1342	       1322	       1322	         1322	
asobo-aircraft-flightdesignct/en-US.locPak                   	     7	     6	    6	      6	   210	   209	   209	    209	      1206	       1201	       1201	         1201	      1402	       1397	       1397	         1397	
asobo-aircraft-icon/en-US.locPak                             	     7	     6	    5	      5	   219	   218	   217	    217	      1159	       1154	       1149	         1149	      1359	       1354	       1349	         1349	
asobo-aircraft-kingair350/en-US.locPak                       	    12	     7	    6	      6	   195	   189	   188	    188	      1078	       1043	       1038	         1038	      1259	       1223	       1218	         1218	
asobo-aircraft-pitts/en-US.locPak                            	    13	     9	    9	      9	   197	   193	   193	    193	      1049	       1029	       1029	         1029	      1227	       1207	       1207	         1207	
